,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
2775,"((LACUNA))

(ll.",16,"['(', '(', 'LACUNA', ')', ')', '(', 'll', '.']","['(', '(', 'lacuna', ')', ')', '(', 'll', '.']","['lacuna', 'll']",['lacuna'],"[('lacuna', 'NN')]"
2776,"8-12) Then laughter-loving Aphrodite and her handmaidens wove
sweet-smelling crowns of flowers of the earth and put them upon their
heads—the bright-coiffed goddesses, the Nymphs and Graces, and golden
Aphrodite too, while they sang sweetly on the mount of many-fountained
Ida.’

Fragment #7—Clement of Alexandria, Protrept ii.",327,"['8-12', ')', 'Then', 'laughter-loving', 'Aphrodite', 'and', 'her', 'handmaidens', 'wove', 'sweet-smelling', 'crowns', 'of', 'flowers', 'of', 'the', 'earth', 'and', 'put', 'them', 'upon', 'their', 'heads—the', 'bright-coiffed', 'goddesses', ',', 'the', 'Nymphs', 'and', 'Graces', ',', 'and', 'golden', 'Aphrodite', 'too', ',', 'while', 'they', 'sang', 'sweetly', 'on', 'the', 'mount', 'of', 'many-fountained', 'Ida.', '’', 'Fragment', '#', '7—Clement', 'of', 'Alexandria', ',', 'Protrept', 'ii', '.']","['8-12', ')', 'then', 'laughter-loving', 'aphrodite', 'and', 'her', 'handmaidens', 'wove', 'sweet-smelling', 'crowns', 'of', 'flowers', 'of', 'the', 'earth', 'and', 'put', 'them', 'upon', 'their', 'heads—the', 'bright-coiffed', 'goddesses', ',', 'the', 'nymphs', 'and', 'graces', ',', 'and', 'golden', 'aphrodite', 'too', ',', 'while', 'they', 'sang', 'sweetly', 'on', 'the', 'mount', 'of', 'many-fountained', 'ida.', '’', 'fragment', '#', '7—clement', 'of', 'alexandria', ',', 'protrept', 'ii', '.']","['8-12', 'then', 'laughter-loving', 'aphrodite', 'and', 'her', 'handmaidens', 'wove', 'sweet-smelling', 'crowns', 'of', 'flowers', 'of', 'the', 'earth', 'and', 'put', 'them', 'upon', 'their', 'heads—the', 'bright-coiffed', 'goddesses', 'the', 'nymphs', 'and', 'graces', 'and', 'golden', 'aphrodite', 'too', 'while', 'they', 'sang', 'sweetly', 'on', 'the', 'mount', 'of', 'many-fountained', 'ida.', '’', 'fragment', '7—clement', 'of', 'alexandria', 'protrept', 'ii']","['8-12', 'laughter-loving', 'aphrodite', 'handmaidens', 'wove', 'sweet-smelling', 'crowns', 'flowers', 'earth', 'put', 'upon', 'heads—the', 'bright-coiffed', 'goddesses', 'nymphs', 'graces', 'golden', 'aphrodite', 'sang', 'sweetly', 'mount', 'many-fountained', 'ida.', '’', 'fragment', '7—clement', 'alexandria', 'protrept', 'ii']","[('8-12', 'JJ'), ('laughter-loving', 'JJ'), ('aphrodite', 'NN'), ('handmaidens', 'NNS'), ('wove', 'IN'), ('sweet-smelling', 'JJ'), ('crowns', 'NNS'), ('flowers', 'NNS'), ('earth', 'VBP'), ('put', 'VBN'), ('upon', 'IN'), ('heads—the', 'JJ'), ('bright-coiffed', 'JJ'), ('goddesses', 'NNS'), ('nymphs', 'JJ'), ('graces', 'NNS'), ('golden', 'JJ'), ('aphrodite', 'RB'), ('sang', 'VBP'), ('sweetly', 'RB'), ('mount', 'VBP'), ('many-fountained', 'JJ'), ('ida.', 'NN'), ('’', 'NNP'), ('fragment', 'NN'), ('7—clement', 'CD'), ('alexandria', 'NN'), ('protrept', 'NN'), ('ii', 'NN')]"
2777,30.,3,"['30', '.']","['30', '.']",['30'],['30'],"[('30', 'CD')]"
2778,"5: ‘Castor was
mortal, and the fate of death was destined for him; but Polydeuces,
scion of Ares, was immortal.’

Fragment #8—Athenaeus, viii.",142,"['5', ':', '‘', 'Castor', 'was', 'mortal', ',', 'and', 'the', 'fate', 'of', 'death', 'was', 'destined', 'for', 'him', ';', 'but', 'Polydeuces', ',', 'scion', 'of', 'Ares', ',', 'was', 'immortal.', '’', 'Fragment', '#', '8—Athenaeus', ',', 'viii', '.']","['5', ':', '‘', 'castor', 'was', 'mortal', ',', 'and', 'the', 'fate', 'of', 'death', 'was', 'destined', 'for', 'him', ';', 'but', 'polydeuces', ',', 'scion', 'of', 'ares', ',', 'was', 'immortal.', '’', 'fragment', '#', '8—athenaeus', ',', 'viii', '.']","['5', '‘', 'castor', 'was', 'mortal', 'and', 'the', 'fate', 'of', 'death', 'was', 'destined', 'for', 'him', 'but', 'polydeuces', 'scion', 'of', 'ares', 'was', 'immortal.', '’', 'fragment', '8—athenaeus', 'viii']","['5', '‘', 'castor', 'mortal', 'fate', 'death', 'destined', 'polydeuces', 'scion', 'ares', 'immortal.', '’', 'fragment', '8—athenaeus', 'viii']","[('5', 'CD'), ('‘', 'JJ'), ('castor', 'NN'), ('mortal', 'JJ'), ('fate', 'NN'), ('death', 'NN'), ('destined', 'VBD'), ('polydeuces', 'NNS'), ('scion', 'NN'), ('ares', 'VBZ'), ('immortal.', 'JJ'), ('’', 'NNP'), ('fragment', 'NN'), ('8—athenaeus', 'CD'), ('viii', 'NN')]"
2779,"334 B: ‘And after them she bare a third
child, Helen, a marvel to men.",70,"['334', 'B', ':', '‘', 'And', 'after', 'them', 'she', 'bare', 'a', 'third', 'child', ',', 'Helen', ',', 'a', 'marvel', 'to', 'men', '.']","['334', 'b', ':', '‘', 'and', 'after', 'them', 'she', 'bare', 'a', 'third', 'child', ',', 'helen', ',', 'a', 'marvel', 'to', 'men', '.']","['334', 'b', '‘', 'and', 'after', 'them', 'she', 'bare', 'a', 'third', 'child', 'helen', 'a', 'marvel', 'to', 'men']","['334', 'b', '‘', 'bare', 'third', 'child', 'helen', 'marvel', 'men']","[('334', 'CD'), ('b', 'NN'), ('‘', 'NN'), ('bare', 'NN'), ('third', 'JJ'), ('child', 'JJ'), ('helen', 'VBN'), ('marvel', 'JJ'), ('men', 'NNS')]"
2780,"Rich-tressed Nemesis once gave her birth
when she had been joined in love with Zeus the king of the gods by
harsh violence.",123,"['Rich-tressed', 'Nemesis', 'once', 'gave', 'her', 'birth', 'when', 'she', 'had', 'been', 'joined', 'in', 'love', 'with', 'Zeus', 'the', 'king', 'of', 'the', 'gods', 'by', 'harsh', 'violence', '.']","['rich-tressed', 'nemesis', 'once', 'gave', 'her', 'birth', 'when', 'she', 'had', 'been', 'joined', 'in', 'love', 'with', 'zeus', 'the', 'king', 'of', 'the', 'gods', 'by', 'harsh', 'violence', '.']","['rich-tressed', 'nemesis', 'once', 'gave', 'her', 'birth', 'when', 'she', 'had', 'been', 'joined', 'in', 'love', 'with', 'zeus', 'the', 'king', 'of', 'the', 'gods', 'by', 'harsh', 'violence']","['rich-tressed', 'nemesis', 'gave', 'birth', 'joined', 'love', 'zeus', 'king', 'gods', 'harsh', 'violence']","[('rich-tressed', 'JJ'), ('nemesis', 'NN'), ('gave', 'VBD'), ('birth', 'NN'), ('joined', 'VBN'), ('love', 'IN'), ('zeus', 'NN'), ('king', 'VBG'), ('gods', 'NNS'), ('harsh', 'JJ'), ('violence', 'NN')]"
2781,"For Nemesis tried to escape him and liked not to lie in
love with her father Zeus the Son of Cronos; for shame and indignation
vexed her heart: therefore she fled him over the land and fruitless
dark water.",206,"['For', 'Nemesis', 'tried', 'to', 'escape', 'him', 'and', 'liked', 'not', 'to', 'lie', 'in', 'love', 'with', 'her', 'father', 'Zeus', 'the', 'Son', 'of', 'Cronos', ';', 'for', 'shame', 'and', 'indignation', 'vexed', 'her', 'heart', ':', 'therefore', 'she', 'fled', 'him', 'over', 'the', 'land', 'and', 'fruitless', 'dark', 'water', '.']","['for', 'nemesis', 'tried', 'to', 'escape', 'him', 'and', 'liked', 'not', 'to', 'lie', 'in', 'love', 'with', 'her', 'father', 'zeus', 'the', 'son', 'of', 'cronos', ';', 'for', 'shame', 'and', 'indignation', 'vexed', 'her', 'heart', ':', 'therefore', 'she', 'fled', 'him', 'over', 'the', 'land', 'and', 'fruitless', 'dark', 'water', '.']","['for', 'nemesis', 'tried', 'to', 'escape', 'him', 'and', 'liked', 'not', 'to', 'lie', 'in', 'love', 'with', 'her', 'father', 'zeus', 'the', 'son', 'of', 'cronos', 'for', 'shame', 'and', 'indignation', 'vexed', 'her', 'heart', 'therefore', 'she', 'fled', 'him', 'over', 'the', 'land', 'and', 'fruitless', 'dark', 'water']","['nemesis', 'tried', 'escape', 'liked', 'lie', 'love', 'father', 'zeus', 'son', 'cronos', 'shame', 'indignation', 'vexed', 'heart', 'therefore', 'fled', 'land', 'fruitless', 'dark', 'water']","[('nemesis', 'NN'), ('tried', 'VBD'), ('escape', 'NN'), ('liked', 'VBN'), ('lie', 'JJ'), ('love', 'NN'), ('father', 'NN'), ('zeus', 'NN'), ('son', 'NN'), ('cronos', 'NNS'), ('shame', 'VBP'), ('indignation', 'NN'), ('vexed', 'JJ'), ('heart', 'NN'), ('therefore', 'NN'), ('fled', 'VBD'), ('land', 'NN'), ('fruitless', 'NN'), ('dark', 'JJ'), ('water', 'NN')]"
2782,But Zeus ever pursued and longed in his heart to catch her.,59,"['But', 'Zeus', 'ever', 'pursued', 'and', 'longed', 'in', 'his', 'heart', 'to', 'catch', 'her', '.']","['but', 'zeus', 'ever', 'pursued', 'and', 'longed', 'in', 'his', 'heart', 'to', 'catch', 'her', '.']","['but', 'zeus', 'ever', 'pursued', 'and', 'longed', 'in', 'his', 'heart', 'to', 'catch', 'her']","['zeus', 'ever', 'pursued', 'longed', 'heart', 'catch']","[('zeus', 'NN'), ('ever', 'RB'), ('pursued', 'VBD'), ('longed', 'JJ'), ('heart', 'NN'), ('catch', 'NN')]"
2783,"Now she took the form of a fish and sped over the waves of the
loud-roaring sea, and now over Ocean’s stream and the furthest bounds
of Earth, and now she sped over the furrowed land, always turning into
such dread creatures as the dry land nurtures, that she might escape
him.’

Fragment #9—Scholiast on Euripides, Andr.",321,"['Now', 'she', 'took', 'the', 'form', 'of', 'a', 'fish', 'and', 'sped', 'over', 'the', 'waves', 'of', 'the', 'loud-roaring', 'sea', ',', 'and', 'now', 'over', 'Ocean', '’', 's', 'stream', 'and', 'the', 'furthest', 'bounds', 'of', 'Earth', ',', 'and', 'now', 'she', 'sped', 'over', 'the', 'furrowed', 'land', ',', 'always', 'turning', 'into', 'such', 'dread', 'creatures', 'as', 'the', 'dry', 'land', 'nurtures', ',', 'that', 'she', 'might', 'escape', 'him.', '’', 'Fragment', '#', '9—Scholiast', 'on', 'Euripides', ',', 'Andr', '.']","['now', 'she', 'took', 'the', 'form', 'of', 'a', 'fish', 'and', 'sped', 'over', 'the', 'waves', 'of', 'the', 'loud-roaring', 'sea', ',', 'and', 'now', 'over', 'ocean', '’', 's', 'stream', 'and', 'the', 'furthest', 'bounds', 'of', 'earth', ',', 'and', 'now', 'she', 'sped', 'over', 'the', 'furrowed', 'land', ',', 'always', 'turning', 'into', 'such', 'dread', 'creatures', 'as', 'the', 'dry', 'land', 'nurtures', ',', 'that', 'she', 'might', 'escape', 'him.', '’', 'fragment', '#', '9—scholiast', 'on', 'euripides', ',', 'andr', '.']","['now', 'she', 'took', 'the', 'form', 'of', 'a', 'fish', 'and', 'sped', 'over', 'the', 'waves', 'of', 'the', 'loud-roaring', 'sea', 'and', 'now', 'over', 'ocean', '’', 's', 'stream', 'and', 'the', 'furthest', 'bounds', 'of', 'earth', 'and', 'now', 'she', 'sped', 'over', 'the', 'furrowed', 'land', 'always', 'turning', 'into', 'such', 'dread', 'creatures', 'as', 'the', 'dry', 'land', 'nurtures', 'that', 'she', 'might', 'escape', 'him.', '’', 'fragment', '9—scholiast', 'on', 'euripides', 'andr']","['took', 'form', 'fish', 'sped', 'waves', 'loud-roaring', 'sea', 'ocean', '’', 'stream', 'furthest', 'bounds', 'earth', 'sped', 'furrowed', 'land', 'always', 'turning', 'dread', 'creatures', 'dry', 'land', 'nurtures', 'might', 'escape', 'him.', '’', 'fragment', '9—scholiast', 'euripides', 'andr']","[('took', 'VBD'), ('form', 'NN'), ('fish', 'NN'), ('sped', 'VBD'), ('waves', 'NNS'), ('loud-roaring', 'JJ'), ('sea', 'NN'), ('ocean', 'NN'), ('’', 'NNP'), ('stream', 'NN'), ('furthest', 'JJS'), ('bounds', 'NNS'), ('earth', 'NN'), ('sped', 'VBD'), ('furrowed', 'VBN'), ('land', 'NN'), ('always', 'RB'), ('turning', 'VBG'), ('dread', 'JJ'), ('creatures', 'NNS'), ('dry', 'JJ'), ('land', 'NN'), ('nurtures', 'NNS'), ('might', 'MD'), ('escape', 'VB'), ('him.', 'JJ'), ('’', 'NNP'), ('fragment', 'NN'), ('9—scholiast', 'CD'), ('euripides', 'NNS'), ('andr', 'VBP')]"
2784,"898: The writer 3003 of the
Cyprian histories says that (Helen’s third child was) Pleisthenes and
that she took him with her to Cyprus, and that the child she bore
Alexandrus was Aganus.",186,"['898', ':', 'The', 'writer', '3003', 'of', 'the', 'Cyprian', 'histories', 'says', 'that', '(', 'Helen', '’', 's', 'third', 'child', 'was', ')', 'Pleisthenes', 'and', 'that', 'she', 'took', 'him', 'with', 'her', 'to', 'Cyprus', ',', 'and', 'that', 'the', 'child', 'she', 'bore', 'Alexandrus', 'was', 'Aganus', '.']","['898', ':', 'the', 'writer', '3003', 'of', 'the', 'cyprian', 'histories', 'says', 'that', '(', 'helen', '’', 's', 'third', 'child', 'was', ')', 'pleisthenes', 'and', 'that', 'she', 'took', 'him', 'with', 'her', 'to', 'cyprus', ',', 'and', 'that', 'the', 'child', 'she', 'bore', 'alexandrus', 'was', 'aganus', '.']","['898', 'the', 'writer', '3003', 'of', 'the', 'cyprian', 'histories', 'says', 'that', 'helen', '’', 's', 'third', 'child', 'was', 'pleisthenes', 'and', 'that', 'she', 'took', 'him', 'with', 'her', 'to', 'cyprus', 'and', 'that', 'the', 'child', 'she', 'bore', 'alexandrus', 'was', 'aganus']","['898', 'writer', '3003', 'cyprian', 'histories', 'says', 'helen', '’', 'third', 'child', 'pleisthenes', 'took', 'cyprus', 'child', 'bore', 'alexandrus', 'aganus']","[('898', 'CD'), ('writer', 'NN'), ('3003', 'CD'), ('cyprian', 'JJ'), ('histories', 'NNS'), ('says', 'VBZ'), ('helen', 'JJ'), ('’', 'NNP'), ('third', 'JJ'), ('child', 'NN'), ('pleisthenes', 'NNS'), ('took', 'VBD'), ('cyprus', 'NN'), ('child', 'NN'), ('bore', 'IN'), ('alexandrus', 'JJ'), ('aganus', 'NN')]"
2785,"Fragment #10—Herodotus, ii.",27,"['Fragment', '#', '10—Herodotus', ',', 'ii', '.']","['fragment', '#', '10—herodotus', ',', 'ii', '.']","['fragment', '10—herodotus', 'ii']","['fragment', '10—herodotus', 'ii']","[('fragment', 'NN'), ('10—herodotus', 'CD'), ('ii', 'NN')]"
2786,"117: For it is said in the _Cypria_ that
Alexandrus came with Helen to Ilium from Sparta in three days, enjoying
a favourable wind and calm sea.",144,"['117', ':', 'For', 'it', 'is', 'said', 'in', 'the', '_Cypria_', 'that', 'Alexandrus', 'came', 'with', 'Helen', 'to', 'Ilium', 'from', 'Sparta', 'in', 'three', 'days', ',', 'enjoying', 'a', 'favourable', 'wind', 'and', 'calm', 'sea', '.']","['117', ':', 'for', 'it', 'is', 'said', 'in', 'the', '_cypria_', 'that', 'alexandrus', 'came', 'with', 'helen', 'to', 'ilium', 'from', 'sparta', 'in', 'three', 'days', ',', 'enjoying', 'a', 'favourable', 'wind', 'and', 'calm', 'sea', '.']","['117', 'for', 'it', 'is', 'said', 'in', 'the', '_cypria_', 'that', 'alexandrus', 'came', 'with', 'helen', 'to', 'ilium', 'from', 'sparta', 'in', 'three', 'days', 'enjoying', 'a', 'favourable', 'wind', 'and', 'calm', 'sea']","['117', 'said', '_cypria_', 'alexandrus', 'came', 'helen', 'ilium', 'sparta', 'three', 'days', 'enjoying', 'favourable', 'wind', 'calm', 'sea']","[('117', 'CD'), ('said', 'VBD'), ('_cypria_', 'JJ'), ('alexandrus', 'NN'), ('came', 'VBD'), ('helen', 'JJ'), ('ilium', 'NN'), ('sparta', 'VBD'), ('three', 'CD'), ('days', 'NNS'), ('enjoying', 'VBG'), ('favourable', 'JJ'), ('wind', 'NN'), ('calm', 'NN'), ('sea', 'NN')]"
2787,"Fragment #11—Scholiast on Homer, Il.",36,"['Fragment', '#', '11—Scholiast', 'on', 'Homer', ',', 'Il', '.']","['fragment', '#', '11—scholiast', 'on', 'homer', ',', 'il', '.']","['fragment', '11—scholiast', 'on', 'homer', 'il']","['fragment', '11—scholiast', 'homer', 'il']","[('fragment', 'JJ'), ('11—scholiast', 'CD'), ('homer', 'NN'), ('il', 'NN')]"
2788,iii.,4,"['iii', '.']","['iii', '.']",['iii'],['iii'],"[('iii', 'NN')]"
2789,"242: For Helen had been
previously carried off by Theseus, and it was in consequence of this
earlier rape that Aphidna, a town in Attica, was sacked and Castor was
wounded in the right thigh by Aphidnus who was king at that time.",229,"['242', ':', 'For', 'Helen', 'had', 'been', 'previously', 'carried', 'off', 'by', 'Theseus', ',', 'and', 'it', 'was', 'in', 'consequence', 'of', 'this', 'earlier', 'rape', 'that', 'Aphidna', ',', 'a', 'town', 'in', 'Attica', ',', 'was', 'sacked', 'and', 'Castor', 'was', 'wounded', 'in', 'the', 'right', 'thigh', 'by', 'Aphidnus', 'who', 'was', 'king', 'at', 'that', 'time', '.']","['242', ':', 'for', 'helen', 'had', 'been', 'previously', 'carried', 'off', 'by', 'theseus', ',', 'and', 'it', 'was', 'in', 'consequence', 'of', 'this', 'earlier', 'rape', 'that', 'aphidna', ',', 'a', 'town', 'in', 'attica', ',', 'was', 'sacked', 'and', 'castor', 'was', 'wounded', 'in', 'the', 'right', 'thigh', 'by', 'aphidnus', 'who', 'was', 'king', 'at', 'that', 'time', '.']","['242', 'for', 'helen', 'had', 'been', 'previously', 'carried', 'off', 'by', 'theseus', 'and', 'it', 'was', 'in', 'consequence', 'of', 'this', 'earlier', 'rape', 'that', 'aphidna', 'a', 'town', 'in', 'attica', 'was', 'sacked', 'and', 'castor', 'was', 'wounded', 'in', 'the', 'right', 'thigh', 'by', 'aphidnus', 'who', 'was', 'king', 'at', 'that', 'time']","['242', 'helen', 'previously', 'carried', 'theseus', 'consequence', 'earlier', 'rape', 'aphidna', 'town', 'attica', 'sacked', 'castor', 'wounded', 'right', 'thigh', 'aphidnus', 'king', 'time']","[('242', 'CD'), ('helen', 'NN'), ('previously', 'RB'), ('carried', 'VBD'), ('theseus', 'JJ'), ('consequence', 'NN'), ('earlier', 'RBR'), ('rape', 'NN'), ('aphidna', 'JJ'), ('town', 'NN'), ('attica', 'NN'), ('sacked', 'VBD'), ('castor', 'NN'), ('wounded', 'VBD'), ('right', 'JJ'), ('thigh', 'JJ'), ('aphidnus', 'IN'), ('king', 'VBG'), ('time', 'NN')]"
2790,"Then
the Dioscuri, failing to find Theseus, sacked Athens.",58,"['Then', 'the', 'Dioscuri', ',', 'failing', 'to', 'find', 'Theseus', ',', 'sacked', 'Athens', '.']","['then', 'the', 'dioscuri', ',', 'failing', 'to', 'find', 'theseus', ',', 'sacked', 'athens', '.']","['then', 'the', 'dioscuri', 'failing', 'to', 'find', 'theseus', 'sacked', 'athens']","['dioscuri', 'failing', 'find', 'theseus', 'sacked', 'athens']","[('dioscuri', 'NN'), ('failing', 'VBG'), ('find', 'VBP'), ('theseus', 'JJ'), ('sacked', 'VBN'), ('athens', 'NNS')]"
2791,"The story is in
the Cyclic writers.",35,"['The', 'story', 'is', 'in', 'the', 'Cyclic', 'writers', '.']","['the', 'story', 'is', 'in', 'the', 'cyclic', 'writers', '.']","['the', 'story', 'is', 'in', 'the', 'cyclic', 'writers']","['story', 'cyclic', 'writers']","[('story', 'NN'), ('cyclic', 'JJ'), ('writers', 'NNS')]"
2792,"Plutarch, Thes.",15,"['Plutarch', ',', 'Thes', '.']","['plutarch', ',', 'thes', '.']","['plutarch', 'thes']","['plutarch', 'thes']","[('plutarch', 'NN'), ('thes', 'NNS')]"
2793,"32: Hereas relates that Alycus was killed by Theseus
himself near Aphidna, and quotes the following verses in evidence: ‘In
spacious Aphidna Theseus slew him in battle long ago for rich-haired
Helen’s sake.’ 3004

Fragment #12—Scholiast on Pindar, Nem.",252,"['32', ':', 'Hereas', 'relates', 'that', 'Alycus', 'was', 'killed', 'by', 'Theseus', 'himself', 'near', 'Aphidna', ',', 'and', 'quotes', 'the', 'following', 'verses', 'in', 'evidence', ':', '‘', 'In', 'spacious', 'Aphidna', 'Theseus', 'slew', 'him', 'in', 'battle', 'long', 'ago', 'for', 'rich-haired', 'Helen', '’', 's', 'sake.', '’', '3004', 'Fragment', '#', '12—Scholiast', 'on', 'Pindar', ',', 'Nem', '.']","['32', ':', 'hereas', 'relates', 'that', 'alycus', 'was', 'killed', 'by', 'theseus', 'himself', 'near', 'aphidna', ',', 'and', 'quotes', 'the', 'following', 'verses', 'in', 'evidence', ':', '‘', 'in', 'spacious', 'aphidna', 'theseus', 'slew', 'him', 'in', 'battle', 'long', 'ago', 'for', 'rich-haired', 'helen', '’', 's', 'sake.', '’', '3004', 'fragment', '#', '12—scholiast', 'on', 'pindar', ',', 'nem', '.']","['32', 'hereas', 'relates', 'that', 'alycus', 'was', 'killed', 'by', 'theseus', 'himself', 'near', 'aphidna', 'and', 'quotes', 'the', 'following', 'verses', 'in', 'evidence', '‘', 'in', 'spacious', 'aphidna', 'theseus', 'slew', 'him', 'in', 'battle', 'long', 'ago', 'for', 'rich-haired', 'helen', '’', 's', 'sake.', '’', '3004', 'fragment', '12—scholiast', 'on', 'pindar', 'nem']","['32', 'hereas', 'relates', 'alycus', 'killed', 'theseus', 'near', 'aphidna', 'quotes', 'following', 'verses', 'evidence', '‘', 'spacious', 'aphidna', 'theseus', 'slew', 'battle', 'long', 'ago', 'rich-haired', 'helen', '’', 'sake.', '’', '3004', 'fragment', '12—scholiast', 'pindar', 'nem']","[('32', 'CD'), ('hereas', 'JJ'), ('relates', 'NNS'), ('alycus', 'VBP'), ('killed', 'VBN'), ('theseus', 'NN'), ('near', 'IN'), ('aphidna', 'JJ'), ('quotes', 'NNS'), ('following', 'VBG'), ('verses', 'NNS'), ('evidence', 'NN'), ('‘', 'RB'), ('spacious', 'JJ'), ('aphidna', 'NN'), ('theseus', 'NN'), ('slew', 'VBD'), ('battle', 'NN'), ('long', 'RB'), ('ago', 'RB'), ('rich-haired', 'JJ'), ('helen', 'NN'), ('’', 'NNP'), ('sake.', 'NN'), ('’', 'NN'), ('3004', 'CD'), ('fragment', 'NN'), ('12—scholiast', 'CD'), ('pindar', 'NN'), ('nem', 'NN')]"
2794,x.,2,"['x', '.']","['x', '.']",['x'],['x'],"[('x', 'NN')]"
2795,114: (ll.,9,"['114', ':', '(', 'll', '.']","['114', ':', '(', 'll', '.']","['114', 'll']",['114'],"[('114', 'CD')]"
2796,"1-6) ‘Straightway
Lynceus, trusting in his swift feet, made for Taygetus.",73,"['1-6', ')', '‘', 'Straightway', 'Lynceus', ',', 'trusting', 'in', 'his', 'swift', 'feet', ',', 'made', 'for', 'Taygetus', '.']","['1-6', ')', '‘', 'straightway', 'lynceus', ',', 'trusting', 'in', 'his', 'swift', 'feet', ',', 'made', 'for', 'taygetus', '.']","['1-6', '‘', 'straightway', 'lynceus', 'trusting', 'in', 'his', 'swift', 'feet', 'made', 'for', 'taygetus']","['1-6', '‘', 'straightway', 'lynceus', 'trusting', 'swift', 'feet', 'made', 'taygetus']","[('1-6', 'JJ'), ('‘', 'NNP'), ('straightway', 'NN'), ('lynceus', 'NN'), ('trusting', 'VBG'), ('swift', 'JJ'), ('feet', 'NNS'), ('made', 'VBD'), ('taygetus', 'NN')]"
2797,"He climbed its
highest peak and looked throughout the whole isle of Pelops, son of
Tantalus; and soon the glorious hero with his dread eyes saw
horse-taming Castor and athlete Polydeuces both hidden within a hollow
oak.’

Philodemus, On Piety: (Stasinus?)",255,"['He', 'climbed', 'its', 'highest', 'peak', 'and', 'looked', 'throughout', 'the', 'whole', 'isle', 'of', 'Pelops', ',', 'son', 'of', 'Tantalus', ';', 'and', 'soon', 'the', 'glorious', 'hero', 'with', 'his', 'dread', 'eyes', 'saw', 'horse-taming', 'Castor', 'and', 'athlete', 'Polydeuces', 'both', 'hidden', 'within', 'a', 'hollow', 'oak.', '’', 'Philodemus', ',', 'On', 'Piety', ':', '(', 'Stasinus', '?', ')']","['he', 'climbed', 'its', 'highest', 'peak', 'and', 'looked', 'throughout', 'the', 'whole', 'isle', 'of', 'pelops', ',', 'son', 'of', 'tantalus', ';', 'and', 'soon', 'the', 'glorious', 'hero', 'with', 'his', 'dread', 'eyes', 'saw', 'horse-taming', 'castor', 'and', 'athlete', 'polydeuces', 'both', 'hidden', 'within', 'a', 'hollow', 'oak.', '’', 'philodemus', ',', 'on', 'piety', ':', '(', 'stasinus', '?', ')']","['he', 'climbed', 'its', 'highest', 'peak', 'and', 'looked', 'throughout', 'the', 'whole', 'isle', 'of', 'pelops', 'son', 'of', 'tantalus', 'and', 'soon', 'the', 'glorious', 'hero', 'with', 'his', 'dread', 'eyes', 'saw', 'horse-taming', 'castor', 'and', 'athlete', 'polydeuces', 'both', 'hidden', 'within', 'a', 'hollow', 'oak.', '’', 'philodemus', 'on', 'piety', 'stasinus']","['climbed', 'highest', 'peak', 'looked', 'throughout', 'whole', 'isle', 'pelops', 'son', 'tantalus', 'soon', 'glorious', 'hero', 'dread', 'eyes', 'saw', 'horse-taming', 'castor', 'athlete', 'polydeuces', 'hidden', 'within', 'hollow', 'oak.', '’', 'philodemus', 'piety', 'stasinus']","[('climbed', 'VBN'), ('highest', 'JJS'), ('peak', 'NN'), ('looked', 'VBD'), ('throughout', 'IN'), ('whole', 'JJ'), ('isle', 'NN'), ('pelops', 'NNS'), ('son', 'NN'), ('tantalus', 'CC'), ('soon', 'RB'), ('glorious', 'JJ'), ('hero', 'NN'), ('dread', 'JJ'), ('eyes', 'NNS'), ('saw', 'VBD'), ('horse-taming', 'JJ'), ('castor', 'NN'), ('athlete', 'JJ'), ('polydeuces', 'NNS'), ('hidden', 'VBP'), ('within', 'IN'), ('hollow', 'JJ'), ('oak.', 'NN'), ('’', 'NNP'), ('philodemus', 'NN'), ('piety', 'NN'), ('stasinus', 'NN')]"
2798,"writes that Castor was killed with a
spear shot by Idas the son of Aphareus.",76,"['writes', 'that', 'Castor', 'was', 'killed', 'with', 'a', 'spear', 'shot', 'by', 'Idas', 'the', 'son', 'of', 'Aphareus', '.']","['writes', 'that', 'castor', 'was', 'killed', 'with', 'a', 'spear', 'shot', 'by', 'idas', 'the', 'son', 'of', 'aphareus', '.']","['writes', 'that', 'castor', 'was', 'killed', 'with', 'a', 'spear', 'shot', 'by', 'idas', 'the', 'son', 'of', 'aphareus']","['writes', 'castor', 'killed', 'spear', 'shot', 'idas', 'son', 'aphareus']","[('writes', 'NNS'), ('castor', 'VBP'), ('killed', 'VBN'), ('spear', 'JJ'), ('shot', 'NN'), ('idas', 'NNS'), ('son', 'NN'), ('aphareus', 'NN')]"
